"","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","ExterQual","ExterCond","Foundation","BsmtQual","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","1stFlrSF","2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageFinish","GarageCars","GarageArea","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","3SsnPorch","ScreenPorch","PoolArea","PoolQC","MiscVal","MoSold","YrSold","SaleType","SaleCondition","YrSold_YearBuilt","YearRemodel_YearBuilt","YrSold_YearRemodel"
"46",120,4,61,7658,2,NA,4,4,5,1,16,3,3,5,3,9,5,2005,2005,4,2,9,9,1,5,3,1,456,0,1296,1752,2,1,2,1752,0,0,1752,1,0,2,0,2,1,1,6,7,1,2,2,576,3,196,82,0,0,0,0,1,0,2,2010,9,5,5,0,5
"47",50,4,48,12822,2,NA,1,4,2,1,12,3,3,1,1,7,5,2003,2003,2,2,13,14,3,5,3,1,1351,0,83,1434,2,1,2,1518,631,0,2149,1,0,1,1,1,1,3,6,7,1,2,2,670,3,168,43,0,0,198,0,1,0,8,2009,9,1,6,0,6
"48",20,2,84,11096,2,NA,4,4,5,1,21,3,3,1,3,8,5,2006,2006,2,2,13,14,3,5,3,3,24,0,1632,1656,2,1,2,1656,0,0,1656,0,0,2,0,3,1,3,7,7,0,2,3,826,3,0,146,0,0,0,0,1,0,7,2007,9,5,1,0,1
"49",190,5,33,4456,2,NA,4,4,5,1,18,3,3,2,6,4,5,1920,2008,2,2,9,9,4,5,1,4,0,0,736,736,2,3,2,736,716,0,1452,0,0,2,0,2,3,4,8,7,0,NA,0,0,1,0,0,102,0,0,0,1,0,6,2009,7,6,89,88,1
"50",20,4,66,7742,2,NA,4,4,5,1,19,3,3,1,3,5,7,1966,1966,2,2,7,7,4,5,2,4,763,0,192,955,2,1,2,955,0,0,955,1,0,1,0,3,1,4,6,7,0,3,1,386,3,0,0,0,0,0,0,1,0,1,2007,9,5,41,0,41
"51",60,4,NA,13869,2,NA,2,4,1,1,9,3,3,1,6,6,6,1997,1997,2,2,13,14,4,5,3,3,182,0,612,794,2,3,2,794,676,0,1470,0,1,2,0,3,1,4,6,7,0,1,2,388,3,0,75,0,0,0,0,1,0,7,2007,9,5,10,0,10
"52",50,5,52,6240,2,NA,4,4,5,1,4,3,3,1,1,6,6,1934,1950,2,2,14,15,4,5,3,4,0,0,816,816,2,5,2,816,0,360,1176,0,0,1,0,3,1,4,6,7,1,3,2,528,3,112,0,0,0,0,0,1,400,9,2006,9,5,72,16,56
"53",90,5,110,8472,1,NA,2,1,1,2,10,9,3,3,3,5,5,1963,1963,2,2,14,15,2,5,2,3,104,712,0,816,2,5,1,816,0,0,816,1,0,1,0,2,1,4,5,7,0,3,2,516,3,106,0,0,0,0,0,1,0,5,2010,9,5,47,0,47
"54",20,4,68,50271,2,NA,1,3,5,1,25,3,3,1,3,9,5,1981,1987,2,8,15,16,3,5,2,1,1810,0,32,1842,2,3,2,1842,0,0,1842,2,0,0,1,0,1,3,5,7,1,1,3,894,3,857,72,0,0,0,0,1,0,11,2006,9,5,25,6,19
"55",80,4,60,7134,2,NA,4,1,5,2,13,3,3,1,8,5,5,1955,1955,2,2,9,9,4,5,2,4,384,0,0,384,2,5,2,1360,0,0,1360,0,0,1,0,3,1,4,6,3,1,3,2,572,3,0,50,0,0,0,0,1,0,2,2007,9,5,52,0,52
"56",20,4,100,10175,2,NA,1,4,5,1,13,3,3,1,3,6,5,1964,1964,2,2,7,11,4,5,2,4,490,0,935,1425,2,3,2,1425,0,0,1425,0,0,2,0,3,1,4,7,7,1,2,2,576,3,0,0,0,407,0,0,1,0,7,2008,9,5,44,0,44
"57",160,2,24,2645,2,3,4,4,5,1,21,3,3,4,6,8,5,1999,2000,2,2,9,9,3,5,3,3,649,0,321,970,2,1,2,983,756,0,1739,1,0,2,1,3,1,3,7,7,0,1,2,480,3,115,0,0,0,0,0,1,0,8,2009,9,1,10,1,9
"58",60,4,89,11645,2,NA,1,4,1,1,6,3,3,1,6,7,5,2004,2004,2,2,13,14,3,5,3,3,0,0,860,860,2,1,2,860,860,0,1720,0,0,2,1,3,1,3,7,7,0,2,2,565,3,0,70,0,0,0,0,1,0,8,2006,9,5,2,0,2
"59",60,4,66,13682,2,NA,2,2,2,1,22,3,3,1,6,10,5,2006,2006,4,2,13,14,1,5,3,1,0,0,1410,1410,2,1,2,1426,1519,0,2945,0,0,3,1,3,1,3,10,7,1,1,3,641,3,192,0,37,0,0,0,1,0,10,2006,7,6,0,0,0
"60",20,4,60,7200,2,NA,4,1,5,1,6,3,3,1,3,5,7,1972,1972,2,2,7,7,4,5,2,4,632,0,148,780,2,1,2,780,0,0,780,0,0,1,0,2,1,4,4,7,0,3,1,352,3,196,0,0,0,0,0,1,0,1,2008,9,5,36,0,36
"61",20,4,63,13072,2,NA,4,4,5,1,20,6,3,1,3,6,5,2004,2004,2,2,13,14,4,5,3,3,941,0,217,1158,2,1,2,1158,0,0,1158,1,0,1,1,3,1,3,5,7,0,3,2,576,3,0,50,0,0,0,0,1,0,5,2006,7,6,2,0,2
"62",75,5,60,7200,2,NA,4,4,5,1,10,3,3,1,5,5,7,1920,1996,2,2,9,9,4,5,1,4,0,0,530,530,2,5,1,581,530,0,1111,0,0,1,0,3,1,2,6,7,0,3,1,288,1,0,0,144,0,0,0,1,0,3,2007,9,5,87,76,11
"63",120,4,44,6442,2,NA,1,4,5,1,16,3,3,5,3,8,5,2006,2006,2,2,13,14,3,5,3,3,24,0,1346,1370,2,1,2,1370,0,0,1370,0,0,2,0,2,1,3,6,7,1,2,2,484,3,120,49,0,0,0,0,1,0,10,2007,9,5,1,0,1
"64",70,5,50,10300,2,NA,1,1,5,1,18,7,2,1,6,7,6,1921,1950,2,2,12,13,4,5,1,4,0,0,576,576,2,3,2,902,808,0,1710,0,0,2,0,3,1,4,9,7,0,3,2,480,3,12,11,64,0,0,0,1,0,4,2010,9,5,89,29,60
"65",60,4,NA,9375,2,NA,4,4,5,1,6,3,3,1,6,7,5,1997,1998,2,2,13,14,4,5,3,3,739,0,318,1057,2,1,2,1057,977,0,2034,1,0,2,1,3,1,3,8,7,0,2,2,645,3,576,36,0,0,0,0,1,0,2,2009,9,5,12,1,11
"66",60,4,76,9591,2,NA,4,4,5,1,16,3,3,1,6,8,5,2004,2005,2,2,13,14,3,5,3,1,0,0,1143,1143,2,1,2,1143,1330,0,2473,0,0,2,1,4,1,3,9,7,1,2,3,852,3,192,151,0,0,0,0,1,0,10,2007,9,5,3,1,2
"67",20,4,NA,19900,2,NA,4,4,5,1,13,4,3,1,3,7,5,1970,1989,2,2,10,11,4,5,2,3,912,0,1035,1947,2,5,2,2207,0,0,2207,1,0,2,0,3,1,4,7,3,1,2,2,576,3,301,0,0,0,0,0,1,0,7,2010,9,5,40,19,21
"68",20,4,72,10665,2,NA,1,4,5,1,6,3,3,1,3,7,5,2003,2003,2,2,13,14,3,5,3,3,1013,0,440,1453,2,1,2,1479,0,0,1479,1,0,2,0,3,1,3,7,7,0,2,2,558,3,144,29,0,0,0,0,1,0,6,2007,9,5,4,0,4
"69",30,5,47,4608,2,NA,4,4,1,1,18,1,3,1,3,4,6,1945,1950,2,2,9,9,4,3,2,4,0,0,747,747,2,5,2,747,0,0,747,0,0,1,0,2,1,4,4,7,0,3,1,220,3,0,0,0,0,0,0,1,0,6,2010,9,5,65,5,60
"70",50,4,81,15593,2,NA,4,4,1,1,5,3,3,1,1,7,4,1953,1953,2,2,4,1,3,5,2,4,603,0,701,1304,3,5,2,1304,983,0,2287,0,0,2,0,3,1,4,7,7,1,1,2,667,3,0,21,114,0,0,0,1,0,7,2006,9,5,53,0,53
"71",20,4,95,13651,2,NA,1,4,5,1,13,3,3,1,3,7,6,1973,1973,2,2,10,11,4,3,2,3,1880,0,343,2223,2,1,2,2223,0,0,2223,1,0,2,0,3,1,4,8,7,2,1,2,516,3,300,0,0,0,0,0,1,0,2,2007,9,5,34,0,34
"72",20,4,69,7599,2,NA,4,4,1,1,12,3,3,1,3,4,6,1982,2006,2,2,7,11,4,5,2,4,565,0,280,845,2,5,2,845,0,0,845,1,0,1,0,2,1,4,4,7,0,3,2,360,3,0,0,0,0,0,0,1,0,6,2007,9,5,25,24,1
"73",60,4,74,10141,2,NA,1,4,1,1,9,3,3,1,6,7,5,1998,1998,2,2,13,14,4,5,3,3,0,0,832,832,2,3,2,885,833,0,1718,0,0,2,1,3,1,4,7,7,1,1,2,427,3,0,94,0,0,291,0,1,0,12,2009,9,5,11,0,11
"74",20,4,85,10200,2,NA,4,4,5,1,13,3,3,1,3,5,7,1954,2003,2,2,14,15,4,5,2,4,320,362,404,1086,2,3,2,1086,0,0,1086,1,0,1,0,3,1,4,6,7,0,3,2,490,3,0,0,0,0,0,0,1,0,5,2010,9,5,56,49,7
"75",50,5,60,5790,2,NA,4,4,1,1,18,3,3,1,6,3,6,1915,1950,3,2,13,14,3,3,2,2,0,0,840,840,2,3,1,840,765,0,1605,0,0,2,0,3,2,4,8,7,0,3,1,379,3,0,0,202,0,0,0,1,0,5,2010,9,5,95,35,60
"76",180,5,21,1596,2,NA,4,4,5,1,11,3,3,4,8,4,5,1973,1973,2,2,6,6,4,5,2,3,462,0,0,462,2,5,2,526,462,0,988,1,0,1,0,2,1,4,5,7,0,3,1,297,3,120,101,0,0,0,0,1,0,11,2009,9,5,36,0,36
"77",20,4,NA,8475,2,NA,1,4,5,1,13,3,3,1,3,4,7,1956,1956,2,2,13,14,4,5,2,4,228,0,724,952,2,1,2,952,0,0,952,0,0,1,0,2,1,4,4,7,0,3,1,283,3,0,0,0,0,0,0,1,0,4,2008,9,5,52,0,52
"78",50,5,50,8635,2,NA,4,4,5,1,4,3,3,1,1,5,5,1948,2001,2,2,14,15,4,5,2,4,336,41,295,672,2,5,2,1072,213,0,1285,1,0,1,0,2,1,4,6,3,0,3,1,240,3,0,0,0,0,0,0,1,0,1,2008,9,5,60,53,7
"79",90,4,72,10778,2,NA,4,4,5,1,19,3,3,3,3,4,5,1968,1968,4,2,7,7,4,5,2,4,0,0,1768,1768,2,5,1,1768,0,0,1768,0,0,2,0,4,2,4,8,7,0,NA,0,0,3,0,0,0,0,0,0,1,0,4,2010,9,5,42,0,42
"80",50,5,60,10440,2,2,4,4,1,1,18,3,3,1,6,5,6,1910,1981,2,2,14,15,4,5,3,4,0,0,440,440,2,3,2,682,548,0,1230,0,0,1,1,2,1,4,5,7,0,3,2,440,3,74,0,128,0,0,0,1,0,5,2009,9,5,99,71,28
"81",60,4,100,13000,2,NA,4,4,1,1,13,3,3,1,6,6,6,1968,1968,2,2,13,14,4,3,2,3,448,0,448,896,2,5,2,1182,960,0,2142,0,0,2,1,4,1,3,8,7,1,1,1,509,3,0,72,0,0,252,0,1,0,6,2009,9,5,41,0,41
"82",120,5,32,4500,2,NA,4,4,3,1,12,3,3,5,3,6,5,1998,1998,4,2,13,14,4,3,3,1,1201,0,36,1237,2,1,2,1337,0,0,1337,1,0,2,0,2,1,4,5,7,0,1,2,405,3,0,199,0,0,0,0,1,0,3,2006,9,5,8,0,8
"83",20,4,78,10206,2,NA,4,4,5,1,21,3,3,1,3,8,5,2007,2007,2,2,13,14,4,5,3,3,33,0,1530,1563,2,1,2,1563,0,0,1563,0,0,2,0,3,1,3,6,7,1,2,3,758,3,144,99,0,0,0,0,1,0,10,2008,9,5,1,0,1
"84",20,4,80,8892,2,NA,1,4,5,1,13,3,3,1,3,5,5,1960,1960,2,2,9,9,4,5,2,4,0,0,1065,1065,2,3,2,1065,0,0,1065,0,0,1,1,3,1,4,6,7,0,3,2,461,3,74,0,0,0,0,0,1,0,7,2007,1,5,47,0,47
"85",80,4,NA,8530,2,NA,1,4,5,1,9,3,3,1,8,7,5,1995,1996,2,2,7,7,4,5,3,3,0,0,384,384,2,3,2,804,670,0,1474,0,0,2,1,3,1,4,7,7,1,1,2,400,3,120,72,0,0,0,0,1,700,5,2009,9,5,14,1,13
"86",60,4,121,16059,2,NA,4,4,1,1,14,3,3,1,6,8,5,1991,1992,4,2,7,7,3,5,2,3,0,0,1288,1288,2,1,2,1301,1116,0,2417,0,0,2,1,4,1,3,9,7,1,3,2,462,3,127,82,0,0,0,0,1,0,4,2006,9,5,15,1,14
"87",60,4,122,11911,2,NA,2,4,5,1,9,3,3,1,6,6,5,2005,2005,2,2,13,14,3,5,3,3,0,0,684,684,2,1,2,684,876,0,1560,0,0,2,1,3,1,3,6,7,1,1,2,400,3,100,38,0,0,0,0,1,0,3,2009,9,5,4,0,4
"88",160,2,40,3951,2,3,4,4,1,1,21,3,3,5,6,6,5,2009,2009,2,2,13,14,3,5,3,3,0,0,612,612,2,1,2,612,612,0,1224,0,0,2,1,2,1,3,4,7,0,2,2,528,3,0,234,0,0,0,0,1,0,6,2009,7,6,0,0,0
"89",50,1,105,8470,2,NA,1,4,1,1,10,2,2,1,1,3,2,1915,1982,4,2,10,11,2,2,2,4,0,0,1013,1013,2,5,1,1013,0,513,1526,0,0,1,0,2,1,2,6,7,0,NA,0,0,1,0,0,156,0,0,0,1,0,10,2009,3,1,94,67,27
"90",20,4,60,8070,2,NA,4,4,5,1,6,3,3,1,3,4,5,1994,1995,2,2,13,14,4,5,3,3,588,0,402,990,2,1,2,990,0,0,990,1,0,1,0,3,1,4,5,7,0,NA,0,0,3,0,0,0,0,0,0,1,0,8,2007,9,5,13,1,12
